Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Loudness_dB
Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,0.6234817813765182,0.511463733740527,6,0.651746136956792,1,0.02936842105263158,0.038553251559489514,0.0,0.13989426596177307,0.6107178968655207,132.015,40,Alt. Rock,-15.894
Like the Weather,"10,000 Maniacs",1987,236653,4,0.7793522267206477,0.4594065906145176,1,0.6194539956087659,1,0.043789473684210524,0.11244890808123303,0.003475177304964539,0.13481089873932492,0.9737108190091001,133.351,43,Alt. Rock,-17.453
What's the Matter Here?,"10,000 Maniacs",1987,291173,4,0.6002024291497975,0.8167989001526975,9,0.8299018186337462,1,0.0431578947368421,0.00450703263758297,3.2117527862208714e-05,0.07848718991459942,0.5247724974721941,99.978,12,Alt. Rock,-7.293
Trouble Me,"10,000 Maniacs",1989,193560,4,0.8714574898785425,0.3853252715505811,2,0.7726500683541158,1,0.03589473684210526,0.1546176251180975,0.0,0.11244408296055305,0.4994944388270981,117.913,47,Alt. Rock,-10.057
Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,0.6295546558704453,0.8768648345288623,10,0.8502630597787812,1,0.032105263157894734,0.019376525478439235,0.006930091185410335,0.08773891825945505,0.8766430738119313,104.97,43,Alt. Rock,-6.31
More Than This,"10,000 Maniacs",1992,245573,4,0.6305668016194332,0.773751647183113,6,0.7986867724429347,1,0.02852631578947368,0.015561260603675306,0.005805471124620061,0.08062220414802765,0.8159757330637007,124.644,46,Alt. Rock,-8.8
These Are Days,"10,000 Maniacs",1992,219893,4,0.618421052631579,0.8338175815592775,3,0.8244956294792659,1,0.03694736842105263,0.021886568159204978,0.00020668693009118542,0.08123220821472142,0.801820020222447,108.498,52,Alt. Rock,-7.554
Verdi Cries,"10,000 Maniacs",1992,260253,4,0.3714574898785425,0.025530324637354426,3,0.4567297733957496,1,0.044315789473684204,0.9206826512878027,7.487335359675784e-05,0.07309882065880438,0.17997977755308392,106.872,34,Alt. Rock,-25.309
Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,0.4129554655870445,0.790770328589693,11,0.8123990223290112,0,0.10842105263157893,0.26104343478256503,0.00027355623100303955,0.7651484343228955,0.35085945399393326,122.624,56,Alt. Rock,-8.138
Be Like That,3 Doors Down,2000,265906,4,0.49291497975708504,0.7026736248379846,7,0.8557935291437093,1,0.025052631578947368,0.005300206124704945,5.035460992907802e-06,0.11854412362749084,0.30940343781597573,95.982,61,Alt. Rock,-6.043
Duck And Run,3 Doors Down,2000,230600,4,0.5303643724696356,0.9199120874984471,4,0.8669373213471975,0,0.04589473684210526,0.014958850360291527,7.142857142857143e-05,0.12057747051647011,0.8574317492416582,87.931,48,Alt. Rock,-5.505
Kryptonite,3 Doors Down,2000,233933,4,0.5516194331983806,0.8658527465598987,11,0.8627325075603796,0,0.030105263157894736,0.00666566934304151,1.1144883485309017e-05,0.15819438796258642,0.5490394337714865,99.005,80,Alt. Rock,-5.708
Loser,3 Doors Down,2000,264800,4,0.49898785425101216,0.88086923015394,6,0.8479017357802726,0,0.07294736842105262,0.010842380363835709,2.695035460992908e-05,0.21716144774298496,0.3933265925176947,147.913,61,Alt. Rock,-6.424
One Light,3 Doors Down,2000,176346,4,0.3765182186234818,0.9769747251558035,11,0.9049463523758234,1,0.06578947368421052,0.001173695957526062,0.003302938196555218,0.0480886539243595,0.4378159757330637,170.087,38,Alt. Rock,-3.67
Here Without You,3 Doors Down,2003,238733,4,0.5637651821862348,0.533487909678454,10,0.8397613819959402,0,0.026526315789473683,0.04939663594039753,0.0,0.1958113054087027,0.23559150657229527,143.994,76,Alt. Rock,-6.817
When I'm Gone,3 Doors Down,2005,260333,4,0.5364372469635628,0.7687461526517658,7,0.8647417042959527,1,0.029894736842105262,0.003864461711306939,0.0,0.09211061407076046,0.378159757330637,148.095,72,Alt. Rock,-5.611
It's Not My Time,3 Doors Down,2008,241960,4,0.5384615384615385,0.9359296699987577,0,0.8815816728116327,1,0.0651578947368421,0.0013343386890950697,8.480243161094225e-06,0.09516063440422935,0.31243680485338726,128.025,63,Alt. Rock,-4.798
Let Me Go,3 Doors Down,2008,243053,4,0.48582995951417,0.86385054874736,1,0.8791789220763081,0,0.04052631578947368,0.01817170499167168,0.0,0.1002440016266775,0.49646107178968657,91.972,55,Alt. Rock,-4.914
Man in the Box,Alice In Chains,1990,285200,4,0.35931174089068824,0.7917714274959623,8,0.8242677824267782,1,0.04768421052631579,0.0004508036654655276,0.0,0.08590890605937372,0.7664307381193125,106.392,77,Alt. Rock,-7.565
Angry Chair (2022 Remaster),Alice In Chains,1992,287800,4,0.33299595141700405,0.9439384612489129,8,0.8620282530345085,1,0.09610526315789474,0.04076208911856337,0.0,0.043106954046360314,0.15874620829120326,107.422,53,Alt. Rock,-5.742
Down In A Hole (2022 Remaster),Alice In Chains,1992,338226,4,0.36032388663967607,0.8188010979652364,6,0.8702928870292888,1,0.035263157894736843,0.012248004265064526,0.00011955420466058765,0.11244408296055305,0.3933265925176947,97.528,66,Alt. Rock,-5.343
Rooster (2022 Remaster),Alice In Chains,1992,374333,3,0.26619433198380565,0.562519777960267,3,0.8181987654832429,1,0.028736842105263158,0.02901508937257969,0.0011955420466058765,0.10939406262708418,0.21536905965621841,146.08,72,Alt. Rock,-7.858
Them Bones (2022 Remaster),Alice In Chains,1992,149466,1,0.16194331983805668,0.9549505492178765,9,0.8736898794481959,1,0.07210526315789474,0.023091388645972537,4.062816616008106e-06,0.36559577063847093,0.339737108190091,165.223,70,Alt. Rock,-5.179
