Song_ID,Track,Artist,Year,Duration,Time_Signature,Key,Mode,Key_String,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
0,Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,6,1,F#/Gb Maj,14,132.015,0.5757575757575758,0.32323232323232326,0.06060606060606061,-15.894,0.050505050505050504,0.29292929292929293,0.0,0.5656565656565656,0.5252525252525253,40,Alt. Rock
1,Like the Weather,"10,000 Maniacs",1987,236653,4,1,1,C#/Db Maj,15,133.351,0.8787878787878788,0.26262626262626265,0.030303030303030304,-17.453,0.41414141414141414,0.43434343434343436,0.6868686868686869,0.5555555555555556,0.9797979797979798,43,Alt. Rock
2,What's the Matter Here?,"10,000 Maniacs",1987,291173,4,9,1,A Maj,23,99.978,0.5252525252525253,0.7474747474747475,0.6161616161616161,-7.293,0.40404040404040403,0.1414141414141414,0.4444444444444444,0.23232323232323232,0.41414141414141414,12,Alt. Rock
3,Trouble Me,"10,000 Maniacs",1989,193560,4,2,1,D Maj,22,117.913,0.9696969696969697,0.18181818181818182,0.36363636363636365,-10.057,0.24242424242424243,0.48484848484848486,0.0,0.46464646464646464,0.3838383838383838,47,Alt. Rock
4,Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,10,1,A#/Bb Maj,18,104.97,0.5858585858585859,0.8383838383838383,0.7171717171717171,-6.31,0.12121212121212122,0.23232323232323232,0.7272727272727273,0.29292929292929293,0.8585858585858586,43,Alt. Rock
5,More Than This,"10,000 Maniacs",1992,245573,4,6,1,F#/Gb Maj,14,124.644,0.5858585858585859,0.6868686868686869,0.47474747474747475,-8.8,0.030303030303030304,0.21212121212121213,0.7171717171717171,0.24242424242424243,0.7777777777777778,46,Alt. Rock
6,These Are Days,"10,000 Maniacs",1992,219893,4,3,1,D#/Eb Maj,17,108.498,0.5656565656565656,0.7676767676767676,0.5858585858585859,-7.554,0.2727272727272727,0.24242424242424243,0.5454545454545454,0.25252525252525254,0.7676767676767676,52,Alt. Rock
7,Verdi Cries,"10,000 Maniacs",1992,260253,4,3,1,D#/Eb Maj,17,106.872,0.12121212121212122,0.0,0.0,-25.309,0.42424242424242425,0.9494949494949495,0.494949494949495,0.1919191919191919,0.0707070707070707,34,Alt. Rock
8,Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,11,0,B min,10,122.624,0.1717171717171717,0.7070707070707071,0.5353535353535354,-8.138,0.8282828282828283,0.5858585858585859,0.5555555555555556,0.9797979797979798,0.2222222222222222,56,Alt. Rock
9,Be Like That,3 Doors Down,2000,265906,4,7,1,G Maj,21,95.982,0.29292929292929293,0.5858585858585859,0.7474747474747475,-6.043,0.0,0.1414141414141414,0.35353535353535354,0.494949494949495,0.1717171717171717,61,Alt. Rock
10,Duck And Run,3 Doors Down,2000,230600,4,4,0,E min,9,87.931,0.36363636363636365,0.898989898989899,0.797979797979798,-5.505,0.45454545454545453,0.21212121212121213,0.494949494949495,0.5050505050505051,0.8282828282828283,48,Alt. Rock
11,Kryptonite,3 Doors Down,2000,233933,4,11,0,B min,10,99.005,0.41414141414141414,0.8181818181818182,0.7777777777777778,-5.708,0.0707070707070707,0.16161616161616163,0.3939393939393939,0.6161616161616161,0.4444444444444444,80,Alt. Rock
12,Loser,3 Doors Down,2000,264800,4,6,0,F#/Gb min,11,147.913,0.30303030303030304,0.8383838383838383,0.7070707070707071,-6.424,0.7070707070707071,0.18181818181818182,0.4444444444444444,0.7171717171717171,0.26262626262626265,61,Alt. Rock
13,One Light,3 Doors Down,2000,176346,4,11,1,B Maj,13,170.087,0.12121212121212122,0.9797979797979798,0.9494949494949495,-3.67,0.6666666666666666,0.08080808080808081,0.6868686868686869,0.0707070707070707,0.31313131313131315,38,Alt. Rock
14,Here Without You,3 Doors Down,2003,238733,4,10,0,A#/Bb min,3,143.994,0.4444444444444444,0.35353535353535354,0.6565656565656566,-6.817,0.0,0.32323232323232326,0.0,0.6868686868686869,0.1111111111111111,76,Alt. Rock
15,When I'm Gone,3 Doors Down,2005,260333,4,7,1,G Maj,21,148.095,0.3838383838383838,0.6767676767676768,0.7878787878787878,-5.611,0.06060606060606061,0.13131313131313133,0.0,0.32323232323232326,0.25252525252525254,72,Alt. Rock
16,It's Not My Time,3 Doors Down,2008,241960,4,0,1,C Maj,20,128.025,0.3838383838383838,0.9191919191919192,0.8686868686868687,-4.798,0.6666666666666666,0.09090909090909091,0.3838383838383838,0.3434343434343434,0.18181818181818182,63,Alt. Rock
17,Let Me Go,3 Doors Down,2008,243053,4,1,0,C#/Db min,12,91.972,0.2828282828282828,0.8181818181818182,0.8585858585858586,-4.914,0.35353535353535354,0.2222222222222222,0.0,0.3939393939393939,0.37373737373737376,55,Alt. Rock
18,Man in the Box,Alice In Chains,1990,285200,4,8,1,G#/Ab Maj,16,106.392,0.10101010101010101,0.7070707070707071,0.5858585858585859,-7.565,0.48484848484848486,0.050505050505050504,0.0,0.2828282828282828,0.7171717171717171,77,Alt. Rock
19,Angry Chair (2022 Remaster),Alice In Chains,1992,287800,4,8,1,G#/Ab Maj,16,107.422,0.08080808080808081,0.9292929292929293,0.7676767676767676,-5.742,0.797979797979798,0.30303030303030304,0.0,0.050505050505050504,0.050505050505050504,53,Alt. Rock
20,Down In A Hole (2022 Remaster),Alice In Chains,1992,338226,4,6,1,F#/Gb Maj,14,97.528,0.10101010101010101,0.7474747474747475,0.8080808080808081,-5.343,0.2222222222222222,0.1919191919191919,0.5151515151515151,0.46464646464646464,0.26262626262626265,66,Alt. Rock
21,Rooster (2022 Remaster),Alice In Chains,1992,374333,3,3,1,D#/Eb Maj,17,146.08,0.030303030303030304,0.3939393939393939,0.5555555555555556,-7.858,0.030303030303030304,0.26262626262626265,0.6363636363636364,0.4444444444444444,0.10101010101010101,72,Alt. Rock
22,Them Bones (2022 Remaster),Alice In Chains,1992,149466,1,9,1,A Maj,23,165.223,0.0,0.9494949494949495,0.8282828282828283,-5.179,0.7070707070707071,0.24242424242424243,0.3434343434343434,0.8888888888888888,0.21212121212121213,70,Alt. Rock
23,Would? (2022 Remaster),Alice In Chains,1992,206773,4,6,1,F#/Gb Maj,14,100.127,0.050505050505050504,0.7878787878787878,0.5959595959595959,-7.457,0.5353535353535354,0.04040404040404041,0.3838383838383838,0.20202020202020202,0.494949494949495,75,Alt. Rock
