Song_ID,Track,Artist,Year,Duration,Time_Signature,Key,Mode,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
0,Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,6,1,14,132.015,0.6234817813765182,0.511463733740527,0.651746136956792,-15.894,0.02936842105263158,0.038553251559489514,0.0,0.13989426596177307,0.6107178968655207,40,Alt. Rock
1,Like the Weather,"10,000 Maniacs",1987,236653,4,1,1,15,133.351,0.7793522267206477,0.4594065906145176,0.6194539956087659,-17.453,0.043789473684210524,0.11244890808123303,0.003475177304964539,0.13481089873932492,0.9737108190091001,43,Alt. Rock
2,What's the Matter Here?,"10,000 Maniacs",1987,291173,4,9,1,23,99.978,0.6002024291497975,0.8167989001526975,0.8299018186337462,-7.293,0.0431578947368421,0.00450703263758297,3.2117527862208714e-05,0.07848718991459942,0.5247724974721941,12,Alt. Rock
3,Trouble Me,"10,000 Maniacs",1989,193560,4,2,1,22,117.913,0.8714574898785425,0.3853252715505811,0.7726500683541158,-10.057,0.03589473684210526,0.1546176251180975,0.0,0.11244408296055305,0.4994944388270981,47,Alt. Rock
4,Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,10,1,18,104.97,0.6295546558704453,0.8768648345288623,0.8502630597787812,-6.31,0.032105263157894734,0.019376525478439235,0.006930091185410335,0.08773891825945505,0.8766430738119313,43,Alt. Rock
5,More Than This,"10,000 Maniacs",1992,245573,4,6,1,14,124.644,0.6305668016194332,0.773751647183113,0.7986867724429347,-8.8,0.02852631578947368,0.015561260603675306,0.005805471124620061,0.08062220414802765,0.8159757330637007,46,Alt. Rock
6,These Are Days,"10,000 Maniacs",1992,219893,4,3,1,17,108.498,0.618421052631579,0.8338175815592775,0.8244956294792659,-7.554,0.03694736842105263,0.021886568159204978,0.00020668693009118542,0.08123220821472142,0.801820020222447,52,Alt. Rock
7,Verdi Cries,"10,000 Maniacs",1992,260253,4,3,1,17,106.872,0.3714574898785425,0.025530324637354426,0.4567297733957496,-25.309,0.044315789473684204,0.9206826512878027,7.487335359675784e-05,0.07309882065880438,0.17997977755308392,34,Alt. Rock
8,Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,11,0,10,122.624,0.4129554655870445,0.790770328589693,0.8123990223290112,-8.138,0.10842105263157893,0.26104343478256503,0.00027355623100303955,0.7651484343228955,0.35085945399393326,56,Alt. Rock
9,Be Like That,3 Doors Down,2000,265906,4,7,1,21,95.982,0.49291497975708504,0.7026736248379846,0.8557935291437093,-6.043,0.025052631578947368,0.005300206124704945,5.035460992907802e-06,0.11854412362749084,0.30940343781597573,61,Alt. Rock
10,Duck And Run,3 Doors Down,2000,230600,4,4,0,9,87.931,0.5303643724696356,0.9199120874984471,0.8669373213471975,-5.505,0.04589473684210526,0.014958850360291527,7.142857142857143e-05,0.12057747051647011,0.8574317492416582,48,Alt. Rock
